"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.03.2022","208,13","197,00","213,00","184,55","1,42M","5,65%"
"01.02.2022","197,00","190,00","200,00","190,00","27,05M","-7,42%"
"01.01.2022","212,80","205,00","222,65","200,00","5,48M","3,80%"
"01.12.2021","205,00","200,59","211,00","190,97","5,42M","-0,42%"
"01.11.2021","205,86","177,74","209,35","175,14","765,94K","14,28%"
"01.10.2021","180,14","183,31","185,98","150,93","4,66M","-3,75%"
"01.09.2021","187,15","228,83","229,80","185,98","8,01M","-18,23%"
"01.08.2021","228,88","185,01","231,75","185,01","1,62M","22,10%"
"01.07.2021","187,44","213,66","213,66","185,98","7,78M","-15,01%"
"01.06.2021","220,55","237,70","245,38","216,78","1,65M","-5,62%"
"01.05.2021","233,70","212,27","233,70","194,75","964,36K","10,09%"
"01.04.2021","212,27","229,22","247,33","210,22","4,80M","-8,85%"
"01.03.2021","232,89","218,12","237,59","214,22","2,54M","6,77%"
"01.02.2021","218,12","209,88","218,12","208,65","9,68M","1,79%"
"01.01.2021","214,29","185,01","219,09","185,01","4,81M","17,27%"
"01.12.2020","182,73","166,39","183,26","157,88","7,70M","8,90%"
"01.11.2020","167,80","167,36","172,84","165,45","3,08M","2,01%"
"01.10.2020","164,49","162,11","164,49","160,18","506,78K","1,47%"
"01.09.2020","162,11","165,73","165,73","157,66","1,05M","-3,02%"
"01.08.2020","167,16","179,27","184,33","167,03","2,54M","-6,76%"
"01.07.2020","179,27","187,02","195,48","179,27","1,25M","-3,66%"
"01.06.2020","186,08","185,00","189,38","173,55","2,07M","0,59%"
"01.05.2020","185,00","181,54","187,86","178,88","11,65M","4,60%"
"01.04.2020","176,86","183,42","188,12","169,28","3,23M","-5,98%"
"01.03.2020","188,12","211,38","211,38","178,10","5,02M","-13,04%"
"01.02.2020","216,34","249,26","249,26","216,34","3,45M","-12,56%"
"01.01.2020","247,42","258,67","265,36","242,03","5,26M","-4,35%"
"01.12.2019","258,67","213,99","258,67","207,78","6,68M","20,88%"
"01.11.2019","213,99","240,38","240,80","211,64","5,05M","-10,98%"
"01.10.2019","240,38","246,91","249,26","240,30","4,27M","-2,64%"
"01.09.2019","246,91","244,90","249,26","241,74","6,40M","0,82%"
"01.08.2019","244,90","324,51","319,81","244,56","4,35M","-24,53%"
"01.07.2019","324,51","315,11","329,21","309,46","4,13M","2,99%"
