"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.03.2022","42,75","37,28","45,50","32,00","57,59M","15,54%"
"01.02.2022","37,00","39,36","42,10","36,98","7,95M","-3,90%"
"01.01.2022","38,50","36,16","38,55","34,97","32,74M","5,39%"
"01.12.2021","36,53","37,73","38,55","35,95","26,73M","-2,01%"
"01.11.2021","37,28","34,49","38,00","33,98","10,56M","9,61%"
"01.10.2021","34,01","37,53","38,04","33,49","5,28M","-10,66%"
"01.09.2021","38,07","41,65","41,65","37,92","17,73M","-9,53%"
"01.08.2021","42,08","40,38","44,99","36,94","46,31M","2,63%"
"01.07.2021","41,00","48,26","48,26","39,45","28,74M","-15,04%"
"01.06.2021","48,26","51,50","56,40","48,26","22,81M","-6,29%"
"01.05.2021","51,50","61,80","62,90","50,99","17,92M","-15,32%"
"01.04.2021","60,82","68,95","71,01","60,82","20,05M","-13,11%"
"01.03.2021","70,00","65,84","71,52","65,84","24,02M","7,81%"
"01.02.2021","64,93","66,45","67,77","63,83","1,59M","-1,31%"
"01.01.2021","65,79","60,36","68,30","59,00","28,58M","10,79%"
"01.12.2020","59,38","58,03","60,00","55,65","18,84M","3,94%"
"01.11.2020","57,13","54,20","59,79","52,99","7,14M","6,03%"
"01.10.2020","53,88","54,96","56,31","53,39","3,77M","-3,44%"
"01.09.2020","55,80","57,80","58,20","55,16","3,30M","-2,60%"
"01.08.2020","57,29","56,81","59,86","56,64","4,94M","1,61%"
"01.07.2020","56,38","55,54","61,90","54,18","20,01M","3,13%"
"01.06.2020","54,67","53,03","60,36","52,20","26,75M","3,09%"
"01.05.2020","53,03","47,47","60,00","46,50","9,32M","10,81%"
"01.04.2020","47,86","45,63","49,39","42,87","30,28M","3,31%"
"01.03.2020","46,32","53,87","54,67","45,59","6,40M","-13,64%"
"01.02.2020","53,64","62,86","62,86","52,76","18,14M","-16,23%"
"01.01.2020","64,04","59,46","67,62","60,78","32,76M","7,69%"
"01.12.2019","59,46","47,95","60,90","48,21","74,17M","24,00%"
"01.11.2019","47,95","50,58","51,54","42,06","72,15M","-5,20%"
"01.10.2019","50,58","52,95","54,19","49,30","51,02M","-4,47%"
"01.09.2019","52,95","52,63","55,91","51,65","20,62M","0,62%"
"01.08.2019","52,63","62,36","61,38","52,63","39,46M","-15,61%"
"01.07.2019","62,36","65,41","67,62","60,42","78,73M","-4,66%"
"01.06.2019","65,41","66,00","66,00","64,74","2,04M","-0,90%"
"01.05.2019","66,00","66,61","68,10","64,82","40,25M","-0,91%"
"01.04.2019","66,61","69,31","68,37","64,62","8,54M","-3,89%"
"01.03.2019","69,31","70,38","73,97","68,67","34,86M","-1,53%"
"01.02.2019","70,38","71,19","72,59","69,12","73,94M","-1,13%"
"01.01.2019","71,19","71,85","76,80","70,99","38,23M","-0,91%"
"01.12.2018","71,85","67,90","74,46","67,92","57,71M","5,81%"
"01.11.2018","67,90","66,50","70,34","65,09","50,90M","2,11%"
"01.10.2018","66,50","64,62","66,51","61,81","36,29M","2,90%"
"01.09.2018","64,62","63,65","67,43","61,81","27,77M","1,53%"
"01.08.2018","63,65","59,39","65,56","58,26","23,03M","7,18%"
"01.07.2018","59,39","55,90","60,14","53,80","9,11M","6,23%"
"01.06.2018","55,90","64,62","64,62","54,32","39,25M","-13,49%"
"01.05.2018","64,62","59,08","73,19","59,29","101,18M","9,38%"
"01.04.2018","59,08","55,73","61,35","54,32","80,70M","6,02%"
"01.03.2018","55,73","54,32","55,73","51,71","57,75M","2,59%"
"01.02.2018","54,32","54,32","61,81","50,58","65,03M","0,00%"
"01.01.2018","54,32","45,33","57,61","45,33","71,42M","19,83%"
"01.12.2017","45,33","38,87","46,08","37,74","10,60M","16,63%"
"01.11.2017","38,87","35,59","39,42","33,25","82,83M","9,21%"
"01.10.2017","35,59","36,90","40,27","35,35","14,83M","-3,55%"
"01.09.2017","36,90","33,72","37,46","29,97","24,75M","9,44%"
"01.08.2017","33,72","35,59","37,93","32,97","18,26M","-5,26%"
"01.07.2017","35,59","37,46","39,26","35,59","19,79M","-5,00%"
"01.06.2017","37,46","45,42","45,05","37,46","8,72M","-17,53%"
"01.05.2017","45,42","47,35","47,35","45,26","56,01M","-4,07%"
"01.04.2017","47,35","43,08","49,64","42,61","22,61M","9,91%"
"01.03.2017","43,08","34,65","46,36","34,34","98,59M","24,32%"
"01.02.2017","34,65","34,93","35,12","32,97","19,57M","-0,78%"
"01.01.2017","34,93","29,56","35,97","29,03","22,57M","18,16%"
"01.12.2016","29,56","31,66","31,66","28,90","3,31M","-6,63%"
"01.11.2016","31,66","31,09","32,87","30,01","44,06M","1,81%"
"01.10.2016","31,09","29,97","31,84","26,32","43,81M","3,75%"
