"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.03.2022","25.218,10","22.851,61","25.427,57","22.375,63","","10,36%"
"01.02.2022","22.851,61","22.760,12","23.573,27","21.344,24","","0,40%"
"01.01.2022","22.760,12","21.566,81","23.282,78","21.284,11","","5,68%"
"01.12.2021","21.537,62","22.207,39","22.293,00","20.269,50","","-3,02%"
"01.11.2021","22.207,39","20.561,17","24.049,10","20.561,17","","8,01%"
"01.10.2021","20.561,17","21.723,99","21.776,47","19.857,81","","-5,35%"
"01.09.2021","21.723,99","22.466,61","22.466,61","21.419,02","","-3,31%"
"01.08.2021","22.466,61","21.238,31","22.540,10","20.897,20","","5,78%"
"01.07.2021","21.238,31","21.730,50","21.920,95","20.625,37","","-2,26%"
"01.06.2021","21.730,50","21.911,02","22.286,50","20.854,55","","-0,82%"
"01.05.2021","21.911,02","22.623,22","23.831,42","20.250,05","","-3,15%"
"01.04.2021","22.623,22","24.691,95","25.240,12","22.618,96","","-8,36%"
"01.03.2021","24.687,27","23.099,23","24.943,11","23.099,23","","6,87%"
"01.02.2021","23.099,23","21.681,02","23.578,77","21.681,02","","6,54%"
"01.01.2021","21.681,02","21.007,46","23.584,11","21.007,46","","3,21%"
"01.12.2020","21.007,46","20.229,06","21.244,12","20.229,06","","3,85%"
"01.11.2020","20.229,06","17.918,79","20.976,71","17.683,54","","12,89%"
"01.10.2020","17.918,79","18.461,98","19.286,20","17.908,84","","-2,94%"
"01.09.2020","18.461,98","19.177,00","19.533,45","17.909,37","","-3,73%"
"01.08.2020","19.177,00","20.271,65","20.562,95","19.171,83","","-5,40%"
"01.07.2020","20.271,65","19.969,02","21.672,20","19.603,57","","1,52%"
"01.06.2020","19.969,02","18.362,54","20.766,96","18.227,89","","8,75%"
"01.05.2020","18.362,54","19.823,33","20.127,74","17.863,66","","-7,37%"
"01.04.2020","19.823,33","17.486,77","20.018,72","16.856,71","","13,36%"
"01.03.2020","17.486,77","20.748,06","21.828,76","14.595,80","","-15,72%"
"01.02.2020","20.748,06","22.958,19","23.560,80","20.748,06","","-9,63%"
"01.01.2020","22.958,19","23.393,53","24.886,46","22.718,76","","-1,86%"
"01.12.2019","23.393,53","22.705,71","24.455,74","22.373,80","","3,03%"
"01.11.2019","22.705,71","23.838,15","24.356,40","22.037,73","","-4,75%"
"01.10.2019","23.838,15","25.455,44","26.145,33","23.713,09","","-6,35%"
"01.09.2019","25.455,44","24.278,74","25.842,40","23.885,10","","4,85%"
"01.08.2019","24.278,74","25.280,70","25.349,32","23.347,49","","-3,96%"
"01.07.2019","25.280,70","25.782,13","25.904,49","25.239,25","","-1,94%"
"01.06.2019","25.782,14","25.352,28","25.895,85","25.113,43","","1,70%"
"01.05.2019","25.352,28","26.331,76","26.373,90","24.600,97","","-3,72%"
"01.04.2019","26.331,76","26.643,94","26.805,16","26.148,63","","-1,17%"
"01.03.2019","26.643,94","26.797,42","26.979,40","26.154,79","","-0,57%"
"01.02.2019","26.797,42","27.317,47","27.779,10","26.779,35","","-1,90%"
"01.01.2019","27.317,47","25.949,84","27.625,89","25.781,76","","5,27%"
"01.12.2018","25.949,84","25.965,55","26.292,46","25.499,92","","-0,06%"
"01.11.2018","25.965,55","25.979,23","26.710,38","25.886,88","","-0,05%"
"01.10.2018","25.979,23","26.885,86","27.242,52","25.514,34","","-3,37%"
"01.09.2018","26.885,86","26.589,85","27.795,01","26.023,21","","1,11%"
"01.08.2018","26.589,85","27.360,34","27.458,28","26.417,39","","-2,82%"
"01.07.2018","27.360,34","26.843,21","27.555,11","26.578,91","","1,93%"
"01.06.2018","26.843,21","27.625,84","28.130,51","26.596,91","","-2,83%"
"01.05.2018","27.625,84","28.703,72","28.977,29","27.537,18","","-3,74%"
"01.04.2018","28.699,31","27.736,23","28.781,48","27.545,64","","3,47%"
"01.03.2018","27.736,23","28.132,18","28.297,03","27.303,93","","-1,41%"
"01.02.2018","28.132,18","29.419,79","29.599,17","27.756,38","","-4,38%"
"01.01.2018","29.419,79","27.986,25","30.712,44","27.955,63","","5,14%"
"01.12.2017","27.980,78","25.167,46","28.273,58","24.420,66","","11,18%"
"01.11.2017","25.167,46","28.028,35","28.041,67","25.017,36","","-10,21%"
"01.10.2017","28.028,35","26.703,45","28.123,34","26.690,00","","5,04%"
"01.09.2017","26.682,39","25.724,34","26.725,16","25.401,53","","3,71%"
