"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.03.2022","4.936,97","4.534,47","5.009,37","4.434,31","","8,88%"
"01.02.2022","4.534,47","4.548,45","4.686,62","4.223,36","","-0,31%"
"01.01.2022","4.548,45","4.308,38","4.671,55","4.247,58","","5,77%"
"01.12.2021","4.300,12","4.432,71","4.449,21","4.032,93","","-2,99%"
"01.11.2021","4.432,71","4.092,20","4.822,43","4.092,20","","8,32%"
"01.10.2021","4.092,20","4.362,59","4.373,50","3.959,02","","-6,20%"
"01.09.2021","4.362,59","4.491,57","4.491,57","4.290,25","","-2,87%"
"01.08.2021","4.491,57","4.252,04","4.510,77","4.172,52","","5,63%"
"01.07.2021","4.252,04","4.331,33","4.371,54","4.113,60","","-1,83%"
"01.06.2021","4.331,33","4.356,43","4.443,90","4.131,38","","-0,58%"
"01.05.2021","4.356,43","4.472,84","4.730,68","4.003,99","","-2,60%"
"01.04.2021","4.472,84","4.898,09","5.005,97","4.472,84","","-8,68%"
"01.03.2021","4.898,09","4.573,37","4.958,43","4.573,37","","7,10%"
"01.02.2021","4.573,37","4.288,65","4.679,38","4.288,65","","6,64%"
"01.01.2021","4.288,65","4.177,22","4.697,16","4.177,22","","2,67%"
"01.12.2020","4.177,22","4.032,87","4.251,72","4.032,87","","3,58%"
"01.11.2020","4.032,87","3.539,92","4.208,96","3.489,65","","13,93%"
"01.10.2020","3.539,92","3.637,30","3.831,40","3.530,26","","-2,68%"
"01.09.2020","3.637,30","3.767,15","3.858,64","3.512,53","","-3,45%"
"01.08.2020","3.767,15","4.017,08","4.079,03","3.767,15","","-6,22%"
"01.07.2020","4.017,08","3.959,02","4.310,22","3.865,31","","1,47%"
"01.06.2020","3.959,02","3.647,60","4.149,02","3.616,68","","8,54%"
"01.05.2020","3.647,60","3.977,56","4.036,99","3.534,32","","-8,30%"
"01.04.2020","3.977,56","3.487,49","4.020,21","3.343,62","","14,05%"
"01.03.2020","3.487,49","4.122,63","4.368,63","2.850,78","","-15,41%"
"01.02.2020","4.122,63","4.572,06","4.710,61","4.122,63","","-9,83%"
"01.01.2020","4.572,06","4.669,85","5.000,59","4.516,97","","-2,09%"
"01.12.2019","4.669,85","4.538,80","4.908,11","4.468,30","","2,89%"
"01.11.2019","4.538,80","4.744,13","4.891,27","4.408,17","","-4,33%"
"01.10.2019","4.744,13","5.059,04","5.194,01","4.699,61","","-6,22%"
"01.09.2019","5.059,04","4.804,37","5.152,30","4.713,35","","5,30%"
"01.08.2019","4.804,37","4.972,36","4.990,99","4.589,45","","-3,38%"
"01.07.2019","4.972,36","5.070,71","5.099,89","4.962,73","","-1,94%"
"01.06.2019","5.070,71","4.977,09","5.098,44","4.920,82","","1,88%"
"01.05.2019","4.977,09","5.187,10","5.197,07","4.798,35","","-4,05%"
"01.04.2019","5.187,10","5.259,41","5.290,31","5.147,20","","-1,37%"
"01.03.2019","5.259,41","5.287,54","5.345,32","5.154,59","","-0,53%"
"01.02.2019","5.287,54","5.405,61","5.515,95","5.280,68","","-2,18%"
"01.01.2019","5.405,61","5.105,43","5.484,18","5.064,41","","5,88%"
"01.12.2018","5.105,43","5.111,88","5.185,98","5.007,94","","-0,13%"
"01.11.2018","5.111,88","5.104,33","5.272,36","5.095,58","","0,15%"
